ID,rep_ID,phylum,class,order,family,genus,species,strandedness
u242463,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u24248,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u243218,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u243274,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u243279,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u243476,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u244545,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u245838,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u248387,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u248822,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u250090,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u250290,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u251100,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u251214,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u251954,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u256955,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u257196,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u257921,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u258062,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u259088,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u259847,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u260113,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u260231,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u261764,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u261771,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u262799,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u26401,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u265358,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u268989,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u269499,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u269793,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u270044,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u271034,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u271120,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u271611,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u271983,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u272203,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u273115,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u273840,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u274206,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u274260,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u274265,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u274361,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u275082,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u275352,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u276087,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u285035,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u287769,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u289030,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u289370,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u289619,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u291796,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u293169,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u294124,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u295551,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
